Implementation,MsgSize,Threads,Throughput_Gbps,Latency_us,Cycles,L1_Misses,LLC_Misses,ContextSwitches
A1,4096,1,10.0392,3.26,21480,74,21,50
A1,4096,2,9.8581,3.32,22480,84,26,100
A1,4096,4,9.8767,3.32,24480,104,36,200
A1,4096,8,6.8201,4.80,28480,144,56,400
A1,16384,1,32.4361,4.04,82920,266,69,50
A1,16384,2,31.7131,4.13,83920,276,74,100
A1,16384,4,30.8791,4.24,85920,296,84,200
A1,16384,8,27.1995,4.82,89920,336,104,400
A1,65536,1,63.9542,8.20,328680,1034,261,50
A1,65536,2,64.9685,8.07,329680,1044,266,100
A1,65536,4,62.5733,8.38,331680,1064,276,200
A1,65536,8,29.0553,18.04,335680,1104,296,400
A1,262144,1,87.8515,23.87,1311720,4106,1029,50
A1,262144,2,84.4135,24.84,1312720,4116,1034,100
A1,262144,4,81.4806,25.74,1314720,4136,1044,200
A1,262144,8,34.8862,60.11,1318720,4176,1064,400
A2,4096,1,9.7908,3.35,13088,40,12,40
A2,4096,2,9.6132,3.41,13888,48,16,80
A2,4096,4,9.0317,3.63,15488,64,24,160
A2,4096,8,8.0958,4.05,18688,96,40,320
A2,16384,1,33.8325,3.87,49952,136,36,40
A2,16384,2,32.8801,3.99,50752,144,40,80
A2,16384,4,31.3453,4.18,52352,160,48,160
A2,16384,8,27.6036,4.75,55552,192,64,320
A2,65536,1,75.0225,6.99,197408,520,132,40
A2,65536,2,73.9319,7.09,198208,528,136,80
A2,65536,4,68.9191,7.61,199808,544,144,160
A2,65536,8,49.3112,10.63,203008,576,160,320
A2,262144,1,97.4948,21.51,787232,2056,516,40
A2,262144,2,94.0650,22.29,788032,2064,520,80
A2,262144,4,91.3307,22.96,789632,2080,528,160
A2,262144,8,21.7058,96.62,792832,2112,544,320
A3,4096,1,6.8590,4.78,8692,21,6,30
A3,4096,2,6.5575,5.00,9192,26,8,60
A3,4096,4,6.2485,5.24,10192,36,12,120
A3,4096,8,5.4076,6.06,12192,56,20,240
A3,16384,1,24.1076,5.44,33268,69,18,30
A3,16384,2,23.3585,5.61,33768,74,20,60
A3,16384,4,22.3996,5.85,34768,84,24,120
A3,16384,8,19.4714,6.73,36768,104,32,240
A3,65536,1,53.6057,9.78,131572,261,66,30
A3,65536,2,51.6099,10.16,132072,266,68,60
A3,65536,4,49.2185,10.65,133072,276,72,120
A3,65536,8,38.2403,13.71,135072,296,80,240
A3,262144,1,77.0716,27.21,524788,1029,258,30
A3,262144,2,64.5576,32.48,525288,1034,260,60
A3,262144,4,37.9894,55.20,526288,1044,264,120
A3,262144,8,9.0285,232.28,528288,1064,272,240
